FILIAL;REGIAO
458;Cascavel
459;Blumenau
460;Umuarama
461;Pato Branco
462;Criciuma
463;Maringa
464;Chapeco
465;Ponta Grossa
466;Londrina
467;Chapeco
468;Cascavel
469;Lages
470;Ponta Grossa
471;Ponta Grossa
472;Lajeado
473;Lages
474;Blumenau
475;Cascavel
476;Umuarama
477;Umuarama
478;Ponta Grossa
479;Ponta Grossa
480;Cascavel
481;Lajeado
482;Chapeco
483;Lages
484;Sul
485;Cascavel
486;Criciuma
487;Pato Branco
489;Maringa
490;Ponta Grossa
491;Missoes
492;Chapeco
493;Criciuma
494;Sinos-Litoral
495;Maringa
496;Cascavel
498;Ponta Grossa
499;Pato Branco
500;Chapeco
501;Cascavel
502;Maringa
503;Umuarama
504;Maringa
505;Lages
506;Londrina
507;Pato Branco
508;Serra
509;Criciuma
510;Maringa
511;Londrina
512;Ponta Grossa
513;Pato Branco
514;Maringa
515;Dos Vales
516;Dos Vales
517;Maringa
518;Ponta Grossa
519;Umuarama
520;Londrina
521;Fronteira
522;Criciuma
523;Ponta Grossa
524;Presidente Prudente
525;Ponta Grossa
526;Cascavel
527;Centro
528;Londrina
529;Norte
530;Cascavel
531;Presidente Prudente
532;Maringa
534;Criciuma
535;Presidente Prudente
536;Ponta Grossa
537;Chapeco
538;Blumenau
539;Presidente Prudente
540;Presidente Prudente
541;Umuarama
542;Criciuma
543;Maringa
544;Umuarama
545;Ponta Grossa
546;Blumenau
547;Presidente Prudente
548;Londrina
549;Lages
550;Cascavel
551;Cascavel
552;Norte
553;Criciuma
554;Ponta Grossa
555;Umuarama
556;Londrina
557;Umuarama
558;Maringa
559;Presidente Prudente
560;Umuarama
561;Lages
562;Ponta Grossa
563;Umuarama
564;Londrina
565;Blumenau
566;Ponta Grossa
567;Umuarama
568;Chapeco
569;Maringa
570;Londrina
571;Umuarama
572;Londrina
573;Ponta Grossa
574;Londrina
575;Pato Branco
576;Londrina
577;Maringa
578;Presidente Prudente
579;Umuarama
580;Sinos-Litoral
581;Chapeco
582;Maringa
583;Presidente Prudente
584;Norte
585;Presidente Prudente
586;Maringa
587;Cascavel
588;Maringa
589;Umuarama
590;Londrina
591;Maringa
592;Ponta Grossa
593;Presidente Prudente
594;Maringa
595;Cascavel
596;Cascavel
597;Chapeco
598;Ponta Grossa
599;Criciuma
600;Maringa
601;Londrina
602;Grande Poa
603;Maringa
604;Lages
606;Umuarama
607;Umuarama
608;Sul
